,Name,Value,Value last updated,DOB,Age,Height (m),Nationality,Citizenship,Position,Other positions,Team,Last club,Since,Joined,Contract expiration,Market value history,Transfer history
253,Philip Billing,€22.00m,"May 27, 2024","Jun 11, 1996",28,1.93,Denmark,[],Central Midfield,,Bournemouth,,,"Jul 29, 2019","Jun 30, 2027",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
254,Gabriel Jesus,€65.00m,"May 27, 2024","Apr 3, 1997",27,1.75,Brazil,[],Centre-Forward,,Arsenal,,,"Jul 4, 2022","Jun 30, 2027",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
255,Jarell Quansah,€22.00m,"May 27, 2024","Jan 29, 2003",21,1.9,England,[],Centre-Back,,Liverpool,,,"Jul 1, 2023","Jun 30, 2027",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
256,Youri Tielemans,€25.00m,"May 27, 2024","May 7, 1997",27,1.77,Belgium,[],Central Midfield,,Aston Villa,,,"Jul 1, 2023","Jun 30, 2027",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
257,Wanya Marçal,€300k,"May 24, 2024","Oct 19, 2002",21,1.81,Portugal,"['England', 'Angola', 'Portugal']",Right Winger,"                    0
0  Attacking Midfield
1         Left Winger",Leicester,,,"Jul 1, 2023","Jun 30, 2026",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
258,Nathan Patterson,€15.00m,"May 27, 2024","Oct 16, 2001",22,1.89,Scotland,['Scotland'],Right-Back,"                0
0  Right Midfield
1       Left-Back",Everton,,,"Jan 4, 2022","Jun 30, 2027",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
259,Tom King,€200k,"May 27, 2024","Mar 9, 1995",29,1.94,Wales,"['England', 'Wales']",Goalkeeper,,Wolves,,,"Jul 3, 2023","Jun 30, 2027",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
260,Marcus Harness,€800k,"May 24, 2024","Feb 24, 1996",28,1.82,Ireland,[],Left Winger,,Ipswich,,,"Jul 15, 2022","Jun 30, 2025",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
261,Conor Bradley,€15.00m,"May 27, 2024","Jul 9, 2003",21,1.81,Northern Ireland,[],Right-Back,,Liverpool,,,"Jul 1, 2023","Jun 30, 2027",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
262,Chadi Riad,€15.00m,"Jun 7, 2024","Jun 17, 2003",21,1.87,Morocco,[],Centre-Back,,Crystal Palace,,,"Jul 2, 2024","Jun 30, 2029",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
263,Yan Couto,€25.00m,"Jun 7, 2024","Jun 3, 2002",22,1.68,Brazil,"['Brazil', 'Portugal']",Right-Back,"                0
0  Right Midfield
1    Right Winger",Man City,,,"Jul 1, 2020","Jun 30, 2025",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
264,Cameron Humphreys,€400k,"May 24, 2024","Oct 30, 2003",20,,England,['England'],Central Midfield,"               0
0  Left Midfield
1      Left-Back",Ipswich,,,"Jul 1, 2022","Jun 30, 2026",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
265,Jack Harrison,€18.00m,"May 27, 2024","Nov 20, 1996",27,1.75,England,['England'],Right Winger,"             0
0  Left Winger",Everton,,,"Aug 14, 2023","Jun 30, 2025",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
266,Lino Sousa,€2.00m,"May 24, 2024","Jan 19, 2005",19,1.85,England,"['England', 'Portugal']",Left-Back,"               0
0  Left Midfield
1    Centre-Back",Aston Villa,,,"Feb 1, 2024",-,,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
267,Alejandro Garnacho,€45.00m,"May 27, 2024","Jul 1, 2004",20,1.8,Argentina,[],Left Winger,,Man Utd,,,"Jul 1, 2022","Jun 30, 2028",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
268,James Ward-Prowse,€30.00m,"May 27, 2024","Nov 1, 1994",29,1.77,England,[],Central Midfield,,West Ham,,,"Aug 14, 2023","Jun 30, 2027",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
269,Reece James,€40.00m,"May 27, 2024","Dec 8, 1999",24,1.8,England,['England'],Right-Back,"                0
0     Centre-Back
1  Right Midfield",Chelsea,,,"Jul 1, 2019","Jun 30, 2028",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
270,Yankuba Minteh,€16.00m,"May 31, 2024","Jul 22, 2004",19,1.8,The Gambia,['The Gambia'],Right Winger,"                    0
0         Left Winger
1  Attacking Midfield",Brighton,,,"Jul 1, 2024","Jun 30, 2029",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
271,Calvin Bassey,€16.00m,"May 27, 2024","Dec 31, 1999",24,1.85,Nigeria,[],Centre-Back,,Fulham,,,"Jul 28, 2023","Jun 30, 2027",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
272,Ryan Gravenberch,€35.00m,"May 27, 2024","May 16, 2002",22,1.9,Netherlands,[],Central Midfield,,Liverpool,,,"Sep 1, 2023","Jun 30, 2028",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
273,Ryan Christie,€12.00m,"May 27, 2024","Feb 22, 1995",29,1.78,Scotland,[],Central Midfield,,Bournemouth,,,"Aug 31, 2021","Jun 30, 2027",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
274,Rodri,€120.00m,"May 27, 2024","Jun 22, 1996",28,1.91,Spain,[],Defensive Midfield,,Man City,,,"Jul 4, 2019","Jun 30, 2027",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
275,Ryan Manning,€3.00m,"May 24, 2024","Jun 14, 1996",28,1.73,Ireland,[],Left-Back,,Southampton,,,"Jul 11, 2023","Jun 30, 2027",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
276,James McAtee,€12.00m,"May 27, 2024","Oct 18, 2002",21,1.8,England,[],Central Midfield,,Man City,,,"Jul 1, 2023","Jun 30, 2026",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
277,John Stones,€38.00m,"May 27, 2024","May 28, 1994",30,1.88,England,[],Centre-Back,,Man City,,,"Aug 9, 2016","Jun 30, 2026",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
278,Jordan Ayew,€4.00m,"May 27, 2024","Sep 11, 1991",32,1.82,Ghana,[],Centre-Forward,,Crystal Palace,,,"Jul 25, 2019","Jun 30, 2025",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
279,Isaac Hayden,€1.80m,"May 24, 2024","Mar 22, 1995",29,1.87,England,[],Defensive Midfield,,Newcastle,,,"Jul 11, 2016","Jun 30, 2026",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
280,Freddie Ladapo,€500k,"Dec 21, 2023","Feb 1, 1993",31,1.83,England,[],Centre-Forward,,Ipswich,,,"Jul 1, 2022","Jun 30, 2025",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
281,Ross Stewart,€4.50m,"May 24, 2024","Jul 11, 1996",27,1.88,Scotland,['Scotland'],Centre-Forward,"              0
0   Left Winger
1  Right Winger",Southampton,,,"Sep 1, 2023","Jun 30, 2026",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
282,Ben Mee,€1.00m,"May 27, 2024","Sep 21, 1989",34,1.8,England,['England'],Centre-Back,"           0
0  Left-Back",Brentford,,,"Jul 22, 2022","Jun 30, 2025",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
283,Romelu Lukaku,€30.00m,"Jun 5, 2024","May 13, 1993",31,1.91,Belgium,"['Belgium', 'DR Congo']",Centre-Forward,,Chelsea,,,"Aug 12, 2021","Jun 30, 2026",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
284,Alexis Mac Allister,€75.00m,"May 27, 2024","Dec 24, 1998",25,1.76,Argentina,[],Central Midfield,,Liverpool,,,"Jul 1, 2023","Jun 30, 2028",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
285,Christian Nørgaard,€18.00m,"May 27, 2024","Mar 10, 1994",30,1.87,Denmark,[],Defensive Midfield,,Brentford,,,"Jul 1, 2019","Jun 30, 2025",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
286,Matt Targett,€10.00m,"May 27, 2024","Sep 18, 1995",28,1.83,England,[],Left-Back,,Newcastle,,,"Jul 1, 2022","Jun 30, 2026",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
287,Manuel Akanji,€45.00m,"May 27, 2024","Jul 19, 1995",28,1.88,Switzerland,"['Switzerland', 'Nigeria']",Centre-Back,"            0
0  Right-Back
1   Left-Back",Man City,,,"Sep 1, 2022","Jun 30, 2027",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
288,Daniel Bentley,€2.00m,"May 27, 2024","Jul 13, 1993",30,1.93,England,['England'],Goalkeeper,,Wolves,,,"Jan 25, 2023","Jun 30, 2025",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
289,Vitaliy Mykolenko,€28.00m,"May 27, 2024","May 29, 1999",25,1.8,Ukraine,['Ukraine'],Left-Back,"               0
0    Centre-Back
1  Left Midfield",Everton,,,"Jan 1, 2022","Jun 30, 2026",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
290,James Garner,€22.00m,"May 27, 2024","Mar 13, 2001",23,1.82,England,[],Defensive Midfield,,Everton,,,"Sep 1, 2022","Jun 30, 2026",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
291,Issa Diop,€20.00m,"May 27, 2024","Jan 9, 1997",27,1.94,France,"['France', 'Senegal']",Centre-Back,,Fulham,,,"Aug 10, 2022","Jun 30, 2027",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
292,Paul Onuachu,€13.00m,"May 31, 2024","May 28, 1994",30,2.01,Nigeria,[],Centre-Forward,,Southampton,,,"Jan 31, 2023","Jun 30, 2026",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
293,Stefan Ortega,€9.00m,"May 27, 2024","Nov 6, 1992",31,1.85,Germany,[],Goalkeeper,,Man City,,,"Jul 1, 2022","Jun 30, 2026",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
294,Wes Foderingham,€900k,"May 27, 2024","Jan 14, 1991",33,1.85,England,[],Goalkeeper,,West Ham,,,"Jul 1, 2024","Jun 30, 2026",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
295,Thomas Partey,€18.00m,"May 27, 2024","Jun 13, 1993",31,1.85,Ghana,[],Defensive Midfield,,Arsenal,,,"Oct 5, 2020","Jun 30, 2025",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
296,Aaron Cresswell,€900k,"May 27, 2024","Dec 15, 1989",34,1.7,England,[],Left-Back,,West Ham,,,"Jul 3, 2014","Jun 30, 2025",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
297,Diego Moreira,€3.00m,"May 27, 2024","Aug 6, 2004",19,1.79,Portugal,"['Belgium', 'Portugal']",Left Winger,"                0
0    Right Winger
1  Centre-Forward",Chelsea,,,"Jul 1, 2023","Jun 30, 2028",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
298,Mykhaylo Mudryk,€35.00m,"May 27, 2024","Jan 5, 2001",23,1.75,Ukraine,[],Left Winger,,Chelsea,,,"Jan 15, 2023","Jun 30, 2031",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
299,Mateo Kovacic,€30.00m,"May 27, 2024","May 6, 1994",30,1.77,Croatia,[],Central Midfield,,Man City,,,"Jul 1, 2023","Jun 30, 2027",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
300,Harry Toffolo,€5.00m,"May 27, 2024","Aug 19, 1995",28,1.83,England,[],Left-Back,,Nottm Forest,,,"Jul 20, 2022","Jun 30, 2025",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
301,Luis Sinisterra,€17.00m,"May 27, 2024","Jun 17, 1999",25,1.72,Colombia,['Colombia'],Left Winger,"              0
0  Right Winger",Bournemouth,,,"Jul 1, 2024",-,,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
302,Evan Ferguson,€50.00m,"May 27, 2024","Oct 19, 2004",19,1.88,Ireland,[],Centre-Forward,,Brighton,,,"Jul 1, 2022","Jun 30, 2029",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
303,Elkan Baggott,€250k,"Dec 21, 2023","Oct 23, 2002",21,1.96,Indonesia,"['Indonesia', 'England', 'Thailand']",Centre-Back,,Ipswich,,,"Jul 1, 2023","Jun 30, 2025",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
304,Chris Wood,€7.00m,"May 27, 2024","Dec 7, 1991",32,1.91,New Zealand,[],Centre-Forward,,Nottm Forest,,,"Jul 1, 2023","Jun 30, 2024",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
305,Raheem Sterling,€35.00m,"May 27, 2024","Dec 8, 1994",29,1.7,England,[],Left Winger,,Chelsea,,,"Jul 13, 2022","Jun 30, 2027",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
306,Archie Gray,€18.00m,"May 24, 2024","Mar 12, 2006",18,1.87,England,[],Central Midfield,,Tottenham,,,"Jul 2, 2024","Jun 30, 2030",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
307,José Sá,€14.00m,"May 27, 2024","Jan 17, 1993",31,1.92,Portugal,[],Goalkeeper,,Wolves,,,"Jul 15, 2021","Jun 30, 2027",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
308,Romain Faivre,€15.00m,"May 27, 2024","Jul 14, 1998",25,1.8,France,"['France', 'Algeria']",Right Midfield,"                  0
0  Central Midfield
1     Left Midfield",Bournemouth,,,"Jul 13, 2023","Jun 30, 2028",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
309,Ronnie Edwards,€3.80m,"Jun 28, 2024","Mar 28, 2003",21,1.85,England,['England'],Centre-Back,,Southampton,,,"Jul 3, 2024","Jun 30, 2028",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
310,Kyle Walker-Peters,€20.00m,"May 24, 2024","Apr 13, 1997",27,1.73,England,[],Right-Back,,Southampton,,,"Aug 11, 2020","Jun 30, 2025",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
311,Marcos Senesi,€22.00m,"May 27, 2024","May 10, 1997",27,1.85,Argentina,[],Centre-Back,,Bournemouth,,,"Aug 8, 2022","Jun 30, 2026",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
312,Jorginho,€12.00m,"May 27, 2024","Dec 20, 1991",32,1.78,Italy,[],Defensive Midfield,,Arsenal,,,"Jan 31, 2023","Jun 30, 2025",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
313,Marc Leonard,€450k,"Dec 27, 2023","Dec 19, 2001",22,1.8,Scotland,[],Central Midfield,,Brighton,,,"Jul 1, 2023","Jun 30, 2025",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
314,John McGinn,€30.00m,"May 27, 2024","Oct 18, 1994",29,1.78,Scotland,[],Central Midfield,,Aston Villa,,,"Aug 8, 2018","Jun 30, 2027",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
315,Shea Charles,€10.00m,"May 24, 2024","Nov 5, 2003",20,1.89,Northern Ireland,"['England', 'Northern Ireland']",Defensive Midfield,"             0
0  Centre-Back
1   Right-Back",Southampton,,,"Jul 12, 2023","Jun 30, 2027",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
316,Craig Dawson,€2.00m,"May 27, 2024","May 6, 1990",34,1.88,England,[],Centre-Back,,Wolves,,,"Jan 22, 2023","Jun 30, 2025",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
317,Joachim Andersen,€35.00m,"May 27, 2024","May 31, 1996",28,1.92,Denmark,['Denmark'],Centre-Back,,Crystal Palace,,,"Jul 28, 2021","Jun 30, 2026",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
318,Odsonne Edouard,€18.00m,"May 27, 2024","Jan 16, 1998",26,1.87,France,[],Centre-Forward,,Crystal Palace,,,"Aug 31, 2021","Jun 30, 2025",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
319,Adam Armstrong,€16.00m,"May 24, 2024","Feb 10, 1997",27,1.73,England,['England'],Centre-Forward,"              0
0  Right Winger
1   Left Winger",Southampton,,,"Aug 10, 2021","Jun 30, 2025",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
320,Frank Onyeka,€9.00m,"May 27, 2024","Jan 1, 1998",26,1.83,Nigeria,[],Central Midfield,,Brentford,,,"Jul 20, 2021","Jun 30, 2027",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
321,Issa Diop,€20.00m,"May 27, 2024","Jan 9, 1997",27,1.94,France,[],Centre-Back,,Fulham,,,"Aug 10, 2022","Jun 30, 2027",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
322,Joe Gauci,€1.50m,"May 27, 2024","Jul 4, 2000",24,1.94,Australia,"['Australia', 'New Zealand']",Goalkeeper,,Aston Villa,,,"Feb 1, 2024","Jun 30, 2028",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
323,Nathan Wood,€3.80m,"May 24, 2024","May 31, 2002",22,1.88,England,[],Centre-Back,,Southampton,,,"Jul 5, 2024","Jun 30, 2028",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
324,Aaron Cresswell,€900k,"May 27, 2024","Dec 15, 1989",34,1.7,England,['England'],Left-Back,"               0
0  Left Midfield
1    Centre-Back",West Ham,,,"Jul 3, 2014","Jun 30, 2025",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
325,Adam Wharton,€30.00m,"May 27, 2024","Feb 6, 2004",20,1.82,England,[],Defensive Midfield,,Crystal Palace,,,"Feb 1, 2024","Jun 30, 2029",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
326,Bobby Clark,€1.00m,"May 27, 2024","Feb 7, 2005",19,1.78,England,[],Central Midfield,,Liverpool,,,"Jul 1, 2024","Jun 30, 2028",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
327,Alex Murphy,€250k,"Dec 19, 2023","Jun 25, 2004",20,1.88,Ireland,[],Left-Back,,Newcastle,,,"Jul 1, 2024",-,,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
328,Boubakary Soumaré,€14.00m,"Jun 7, 2024","Feb 27, 1999",25,1.88,France,"['France', 'Senegal']",Defensive Midfield,"                  0
0  Central Midfield",Leicester,,,"Jul 2, 2021","Jun 30, 2026",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
329,Nathan Patterson,€15.00m,"May 27, 2024","Oct 16, 2001",22,1.89,Scotland,[],Right-Back,,Everton,,,"Jan 4, 2022","Jun 30, 2027",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
330,James Ward-Prowse,€30.00m,"May 27, 2024","Nov 1, 1994",29,1.77,England,['England'],Central Midfield,"                    0
0  Attacking Midfield
1      Right Midfield",West Ham,,,"Aug 14, 2023","Jun 30, 2027",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
331,Patson Daka,€12.00m,"May 24, 2024","Oct 9, 1998",25,1.83,Zambia,[],Centre-Forward,,Leicester,,,"Jul 1, 2021","Jun 30, 2026",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
332,Diego Moreira,€3.00m,"May 27, 2024","Aug 6, 2004",19,1.79,Portugal,[],Left Winger,,Chelsea,,,"Jul 1, 2023","Jun 30, 2028",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
333,Chiquinho,€3.00m,"Jun 6, 2024","Feb 5, 2000",24,1.79,Portugal,"['Cape Verde', 'Portugal']",Left Winger,"              0
0  Right Winger",Wolves,,,"Jan 17, 2022","Jun 30, 2026",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
334,Harry Toffolo,€5.00m,"May 27, 2024","Aug 19, 1995",28,1.83,England,['England'],Left-Back,"               0
0  Left Midfield",Nottm Forest,,,"Jul 20, 2022","Jun 30, 2025",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
335,Willian,€3.00m,"May 27, 2024","Aug 9, 1988",35,1.75,Brazil,['Brazil'],Left Winger,"                    0
0        Right Winger
1  Attacking Midfield",Fulham,,,"Sep 1, 2022","Jun 30, 2024",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
336,Jaidon Anthony,€6.00m,"May 24, 2024","Dec 1, 1999",24,1.83,England,"['England', 'Jamaica']",Left Winger,"              0
0  Right Winger",Bournemouth,,,"Aug 1, 2020","Jun 30, 2027",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
337,Pervis Estupiñán,€30.00m,"May 27, 2024","Jan 21, 1998",26,1.75,Ecuador,"['Ecuador', 'Spain']",Left-Back,"               0
0  Left Midfield",Brighton,,,"Aug 16, 2022","Jun 30, 2027",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
338,Facundo Pellistri,€8.00m,"Jun 7, 2024","Dec 20, 2001",22,1.75,Uruguay,[],Right Winger,,Man Utd,,,"Oct 5, 2020","Jun 30, 2025",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
339,Facundo Buonanotte,€18.00m,"May 27, 2024","Dec 23, 2004",19,1.74,Argentina,"['Argentina', 'Italy']",Attacking Midfield,"                0
0    Right Winger
1  Right Midfield",Brighton,,,"Jan 1, 2023","Jun 30, 2027",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
340,Emmanuel Dennis,€4.20m,"May 24, 2024","Nov 15, 1997",26,1.75,Nigeria,['Nigeria'],Centre-Forward,"              0
0   Left Winger
1  Right Winger",Nottm Forest,,,"Aug 13, 2022","Jun 30, 2026",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
341,Daniel Bentley,€2.00m,"May 27, 2024","Jul 13, 1993",30,1.93,England,[],Goalkeeper,,Wolves,,,"Jan 25, 2023","Jun 30, 2025",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
342,Luke Harris,€1.00m,"Dec 19, 2023","Mar 4, 2005",19,1.77,Wales,"['Wales', 'Jersey']",Attacking Midfield,"                  0
0  Central Midfield
1     Left Midfield",Fulham,,,"Jul 1, 2023","Jun 30, 2026",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
343,Mats Wieffer,€30.00m,"May 31, 2024","Nov 16, 1999",24,1.88,Netherlands,['Netherlands'],Defensive Midfield,"                  0
0  Central Midfield
1       Centre-Back",Brighton,,,"Jul 5, 2024","Jun 30, 2029",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
344,Joe Lumley,€600k,"May 24, 2024","Feb 15, 1995",29,1.9,England,[],Goalkeeper,,Southampton,,,"Aug 7, 2023","Jun 30, 2025",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
345,Shea Charles,€10.00m,"May 24, 2024","Nov 5, 2003",20,1.89,Northern Ireland,[],Defensive Midfield,,Southampton,,,"Jul 12, 2023","Jun 30, 2027",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
346,Rico Henry,€20.00m,"May 27, 2024","Jul 8, 1997",27,1.7,England,"['England', 'Jamaica']",Left-Back,"               0
0  Left Midfield",Brentford,,,"Aug 31, 2016","Jun 30, 2026",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
347,Altay Bayındır,€10.00m,"May 27, 2024","Apr 14, 1998",26,1.98,Türkiye,[],Goalkeeper,,Man Utd,,,"Sep 1, 2023","Jun 30, 2027",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
348,Pascal Groß,€8.00m,"May 27, 2024","Jun 15, 1991",33,1.81,Germany,[],Central Midfield,,Brighton,,,"Jul 1, 2017","Jun 30, 2025",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
349,Lewis Hall,€18.00m,"May 27, 2024","Sep 8, 2004",19,1.79,England,['England'],Left-Back,"                  0
0     Left Midfield
1  Central Midfield",Newcastle,,,"Jul 1, 2024",-,,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
350,André Onana,€35.00m,"May 27, 2024","Apr 2, 1996",28,1.9,Cameroon,[],Goalkeeper,,Man Utd,,,"Jul 20, 2023","Jun 30, 2028",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
351,Simon Adingra,€30.00m,"May 27, 2024","Jan 1, 2002",22,1.75,Cote d'Ivoire,"[""Cote d'Ivoire""]",Right Winger,"               0
0    Left Winger
1  Left Midfield",Brighton,,,"Jul 1, 2022","Jun 30, 2026",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
352,Carlos Miguel,€4.00m,"Jun 17, 2024","Oct 9, 1998",25,2.04,Brazil,['Brazil'],Goalkeeper,,Nottm Forest,,,"Jul 9, 2024","Jun 30, 2028",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
353,Fábio Silva,€11.00m,"May 30, 2024","Jul 19, 2002",21,1.85,Portugal,['Portugal'],Centre-Forward,"                0
0  Second Striker
1     Left Winger",Wolves,,,"Sep 5, 2020","Jun 30, 2026",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
354,Isaac Hayden,€1.80m,"May 24, 2024","Mar 22, 1995",29,1.87,England,"['England', 'Jamaica']",Defensive Midfield,"             0
0  Centre-Back",Newcastle,,,"Jul 11, 2016","Jun 30, 2026",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
